,date,vessel_type,source,destination,price
72900,2026-01-01,Capesize,Indonesia,Paradip,16.11
48516,2026-01-01,Capesize,Indonesia,Dhamra,13.14
493524,2026-01-01,Panamax,Indonesia,Haldia,32.82
767844,2026-01-01,Supramax,Mozambique,Visakhapatnam,34.41
737364,2026-01-01,Supramax,Mozambique,Gangavaram,23.36
36324,2026-01-01,Capesize,Australia,Sagar/Sandheads,17.59
609348,2026-01-01,Panamax,USA,Gangavaram,35.71
505716,2026-01-01,Panamax,Indonesia,Sagar/Sandheads,33.21
584964,2026-01-01,Panamax,Russia,Paradip,35.5
676404,2026-01-01,Supramax,Australia,Sagar/Sandheads,30.65
146052,2026-01-01,Capesize,Russia,Gopalpur,19.5
97284,2026-01-01,Capesize,Mozambique,Gangavaram,18.41
91188,2026-01-01,Capesize,Mozambique,Dhamra,14.84
176532,2026-01-01,Capesize,USA,Dhamra,22.57
237492,2026-01-01,Handysize,Australia,Haldia,26.09
30228,2026-01-01,Capesize,Australia,Paradip,21.12
371604,2026-01-01,Handysize,Russia,Paradip,33.53
627636,2026-01-01,Panamax,USA,Paradip,32.85
353316,2026-01-01,Handysize,Russia,Gangavaram,29.74
115572,2026-01-01,Capesize,Mozambique,Paradip,15.79
359412,2026-01-01,Handysize,Russia,Gopalpur,25.53
536196,2026-01-01,Panamax,Mozambique,Haldia,34.31
103380,2026-01-01,Capesize,Mozambique,Gopalpur,23.62
231396,2026-01-01,Handysize,Australia,Gopalpur,30.44
542292,2026-01-01,Panamax,Mozambique,Paradip,27.64
432564,2026-01-01,Panamax,Australia,Dhamra,32.13
499620,2026-01-01,Panamax,Indonesia,Paradip,42.05
725172,2026-01-01,Supramax,Indonesia,Visakhapatnam,38.54
792228,2026-01-01,Supramax,Russia,Haldia,37.03
127764,2026-01-01,Capesize,Mozambique,Visakhapatnam,24.37
219204,2026-01-01,Handysize,Australia,Dhamra,25.49
66804,2026-01-01,Capesize,Indonesia,Haldia,25.28
840996,2026-01-01,Supramax,USA,Paradip,38.13
822708,2026-01-01,Supramax,USA,Gangavaram,36.56
566676,2026-01-01,Panamax,Russia,Gangavaram,34.28
804420,2026-01-01,Supramax,Russia,Sagar/Sandheads,34.05
286260,2026-01-01,Handysize,Indonesia,Paradip,21.55
450852,2026-01-01,Panamax,Australia,Haldia,38.48
383796,2026-01-01,Handysize,Russia,Visakhapatnam,25.15
511812,2026-01-01,Panamax,Indonesia,Visakhapatnam,33.04
18036,2026-01-01,Capesize,Australia,Gopalpur,15.33
786132,2026-01-01,Supramax,Russia,Gopalpur,32.88
109476,2026-01-01,Capesize,Mozambique,Haldia,16.9
200916,2026-01-01,Capesize,USA,Paradip,18.25
213108,2026-01-01,Capesize,USA,Visakhapatnam,24.88
487428,2026-01-01,Panamax,Indonesia,Gopalpur,22.34
298452,2026-01-01,Handysize,Indonesia,Visakhapatnam,28.37
645924,2026-01-01,Supramax,Australia,Dhamra,33.25
402084,2026-01-01,Handysize,USA,Gopalpur,25.97
60708,2026-01-01,Capesize,Indonesia,Gopalpur,16.16
828804,2026-01-01,Supramax,USA,Gopalpur,27.16
664212,2026-01-01,Supramax,Australia,Haldia,33.41
652020,2026-01-01,Supramax,Australia,Gangavaram,25.5
395988,2026-01-01,Handysize,USA,Gangavaram,29.95
121668,2026-01-01,Capesize,Mozambique,Sagar/Sandheads,25.19
438660,2026-01-01,Panamax,Australia,Gangavaram,38.85
731268,2026-01-01,Supramax,Mozambique,Dhamra,31.99
524004,2026-01-01,Panamax,Mozambique,Gangavaram,30.27
475236,2026-01-01,Panamax,Indonesia,Dhamra,22.4
261876,2026-01-01,Handysize,Indonesia,Dhamra,17.74
164340,2026-01-01,Capesize,Russia,Sagar/Sandheads,23.1
139956,2026-01-01,Capesize,Russia,Gangavaram,19.66
530100,2026-01-01,Panamax,Mozambique,Gopalpur,30.38
85092,2026-01-01,Capesize,Indonesia,Visakhapatnam,20.42
316740,2026-01-01,Handysize,Mozambique,Gopalpur,22.47
603252,2026-01-01,Panamax,USA,Dhamra,39.15
322836,2026-01-01,Handysize,Mozambique,Haldia,21.57
280164,2026-01-01,Handysize,Indonesia,Haldia,27.49
426468,2026-01-01,Handysize,USA,Visakhapatnam,26.42
591060,2026-01-01,Panamax,Russia,Sagar/Sandheads,39.63
816612,2026-01-01,Supramax,USA,Dhamra,38.99
249684,2026-01-01,Handysize,Australia,Sagar/Sandheads,33.21
188724,2026-01-01,Capesize,USA,Gopalpur,20.58
847092,2026-01-01,Supramax,USA,Sagar/Sandheads,31.82
182628,2026-01-01,Capesize,USA,Gangavaram,20.14
700788,2026-01-01,Supramax,Indonesia,Gopalpur,23.07
712980,2026-01-01,Supramax,Indonesia,Paradip,24.37
749556,2026-01-01,Supramax,Mozambique,Haldia,39.73
377700,2026-01-01,Handysize,Russia,Sagar/Sandheads,38.03
170436,2026-01-01,Capesize,Russia,Visakhapatnam,20.79
658116,2026-01-01,Supramax,Australia,Gopalpur,25.28
365508,2026-01-01,Handysize,Russia,Haldia,34.63
798324,2026-01-01,Supramax,Russia,Paradip,24.2
24132,2026-01-01,Capesize,Australia,Haldia,21.6
456948,2026-01-01,Panamax,Australia,Paradip,23.76
853188,2026-01-01,Supramax,USA,Visakhapatnam,38.8
78996,2026-01-01,Capesize,Indonesia,Sagar/Sandheads,20.64
670308,2026-01-01,Supramax,Australia,Paradip,32.01
347220,2026-01-01,Handysize,Russia,Dhamra,24.32
274068,2026-01-01,Handysize,Indonesia,Gopalpur,25.79
328932,2026-01-01,Handysize,Mozambique,Paradip,28.68
420372,2026-01-01,Handysize,USA,Sagar/Sandheads,40.28
560580,2026-01-01,Panamax,Russia,Dhamra,42.45
755652,2026-01-01,Supramax,Mozambique,Paradip,22.22
639828,2026-01-01,Panamax,USA,Visakhapatnam,27.79
621540,2026-01-01,Panamax,USA,Haldia,38.05
780036,2026-01-01,Supramax,Russia,Gangavaram,38.31
743460,2026-01-01,Supramax,Mozambique,Gopalpur,23.35
444756,2026-01-01,Panamax,Australia,Gopalpur,31.31
773940,2026-01-01,Supramax,Russia,Dhamra,22.48
615444,2026-01-01,Panamax,USA,Gopalpur,34.99
414276,2026-01-01,Handysize,USA,Paradip,32.33
225300,2026-01-01,Handysize,Australia,Gangavaram,19.92
